id,judul,daerah-asal,overview,karakter-utama,penulis,tema,genre
87,Asal Mula Telaga Biru,Maluku Utara,Sebuah legenda tentang kepercayaan dan kesetiaan seorang istri yang air matanya meluber membentuk Telaga Biru setelah suaminya tenggelam dalam badai.,"['Majojaru', 'Magohiduuru']",Shendiane Rimandani,"['Asal-usul', 'Musibah']",Legenda
88,Terompah Sultan Gajadean,Maluku Utara,"Gajadean yang menjadi Sultan Tobelo, membalas dendam pada Sultan Jafar Nuh dengan mengirimkan guci-guci berisi sampah karena prasangka, dan akhirnya Tobelo dipimpin oleh putranya, Kobubu.","['Sultan Gajadean', 'Sultan Jafar Nuh']",Dian Kristiani,"['Pertarungan', 'Prasangka']",Legenda
89,Si Rusa dan Si Kelomang,Maluku,"Sebuah cerita tentang kesombongan kelompok rusa yang teruji oleh kecerdikan dan kerjasama kelompok kelomang, mengembalikan kedamaian ke hutan.","['Si Rusa', 'Si Kelomang']",Dian Kristiani,"['Persahabatan', 'Cerdik']",Fabel
90,Bulu Pamali,Maluku,Sebuah legenda tentang Yongker yang diberi kekebalan tubuh oleh seorang kakek dan terciptanya Pulau Tujuh dari tujuh daun yang jatuh ke laut.,['Yongker'],Unknown,"['Kekuatan Magis', 'Bantuan']",Mitos
91,Buaya Tembaga,Maluku,"Menceritakan tentang Buaya Tembaga yang berjuang melawan ular raksasa untuk melindungi penduduk Baguala, sehingga dihormati sebagai pemimpin di Teluk Baguala.",['Buaya Tembaga'],Wakhid NE,"['Pelindung', 'Pertarungan']",Legenda
92,Buaya Sakti,Papua,"Seorang suami, Towjatuwa, diselamatkan oleh buaya sakti, Watuwe, yang membantu proses kelahiran anaknya, Narrowa, dan memperingatkannya untuk tidak memburu buaya.","['Towjotuwa', 'Buaya']        ",Dian Kristiani,"['Pertolongan', 'Kebaikan']",Legenda
93,Kasuari dan Dara Makota,Papua,Keserakahan burung kasuari yang akhirnya terjatuh dan mengalami perubahan setelah kalah dalam perlombaan terbang dengan burung dara makota.,"['Kasuari', 'Dara Makota']",Zaza Gambir,"['Cerdik', 'Pertandingan']",Fabel
94,Caadara,Papua Barat,"Caadara, setelah berhasil menggagalkan serangan Suku Kuala, dianggap pantas menggantikan ayahnya sebagai panglima perang di Desa Kramuderu.",['Caadara'],Unknown,"['Pertarungan', 'Pemimpin']",Sage
95,Asal-usul Nama Irian,Papua Barat,"Mananamakrdi, pemuda berkudis, menemukan cinta dan kesembuhan di Pulau Miokbudi setelah bertemu makhluk gaib dan Insoraki, membawa mereka ke tanah indah yang disebut Irian.",['Mananamakrdi'],Dian Kristiani,"['Asal-usul', 'Saudara', 'Kesembuhan']",Legenda
96,Asal-usul Burung Cenderawasih,Papua Barat,Kweiya dan ibunya berubah menjadi burung cenderawasih setelah Kweiya tersesat di hutan karena dijebak adik-adik tirinya.,"['Kweiya', 'Ibu']",Lilis Hu,"['Saudara', 'Penyesalan']",Legenda
97,Pande Gelang,Banten,"Ki Pande berhasil mengalahkan Pangeran Cunihin yang licik, membebaskan Putri Arum, dan memulihkan kesaktiannya, lalu menikahi Putri Arum dan hidup bahagia.",['Pande Gelang'],Dian Kristiani,"['Kekuatan', 'Kutukan']",Legenda
98,Hikayat Tanjung Lesung,Banten,"Raden Budog menemukan dan menikahi gadis impiannya, Sri Poh Haci, setelah pengembaraan panjang, dan kampung mereka kemudian dikenal sebagai Tanjung Lesung.",['Raden Budog'],Unknown,"['Mimpi', 'Asal-usul']",Legenda
99,Kisah Batu Kuwung,Banten,Ki Sarmin sembuh dari kelumpuhan setelah bertapa dan mandi dengan air panas ajaib dari batu cekung di kaki Gunung Karang.,['Ki Sarmin'],Nita Anggraeni,"['Kekuatan Ajaib', 'Mimpi']",Legenda
100,Kisah Bulu Tengon,Kalimantan Utara,"Ku Anyi, seorang pria terhormat di desa, menemukan dua bayi ajaib dari telur dan bambu betung, yang kemudian menjadi cikal bakal kesultanan Bulungan.",['Ku Anyi'],Dian Kristiani,"['Asal-usul', 'Kekuatan Ajaib']",Legenda
